id,title,category,priority,difficulty,bundle,summary,methods,metrics,wedge
R11,Merkle-Based Verifiable Audit Logs,Verifiability & Security,P0,Medium,Proof-Carrying Sharing,"Record all upload, link-creation, download, and expiry events in a tamper-evident structure that yields compact inclusion proofs.",Use an append-only Merkle tree or log-backed DAG with signed checkpoints and exportable witness paths.,"Append throughput, proof size, checkpoint cost, and audit export latency.",Make every important state transition append to the log before introducing advanced proof compression.
R12,Post-Quantum Secure Link Protection,Verifiability & Security,P1,High,PQ and Supply Chain Trust,Protect long-lived links and exported evidence against future quantum attacks by using hybrid classical and post-quantum primitives.,"Adopt crypto agility with X25519 plus ML-KEM for key establishment and Ed25519 plus ML-DSA for signatures, while preserving backward compatibility.","Handshake size, CPU cost, verification latency, and compatibility across devices.",Ship with hybrid mode before considering PQ-only modes.
R13,Verifiable Deletion with Proof of Erasure,Verifiability & Security,P1,High,Proof-Carrying Sharing,"Provide practical deletion evidence for consumer hardware by combining key destruction, garbage collection evidence, and audit commitments.","Use envelope encryption, per-object key shredding, storage compaction reports, and attested deletion events rather than impossible claims of perfect physical wipe.","Time to logical erasure, residual accessibility probability, and user confidence signals.","Document clearly that the first implementation proves crypto-shredding and system state transition, not microscopic physical media erasure."
R14,Cross-Device Verifiable Sync,Core Runtime,P1,High,Runtime and UX Foundation,Let multiple devices maintain a consistent SafeDrop namespace with deterministic conflict handling and signed state continuity.,"Use CRDT-inspired state exchange, signed operation logs, and checkpoint hashes bound to device identities.","Replication lag, divergence incidents, merge determinism, and number of conflict-free updates.",Sync manifests first; defer full folder mirroring until state propagation is stable.
R15,Regulatory-Compliant Export,Privacy & Policy,P1,Medium,Private Edge Sharing,"Create export bundles that combine files, access histories, and policy declarations in a way that is readable to legal or compliance reviewers.","Emit structured JSON and human-readable PDF or DOCX summaries containing hashes, timestamps, consent notes, and provenance pointers.","Export completeness, validator success rate, and manual review time.",Support one structured evidence bundle format before adding jurisdiction-specific variants.
R16,Oblivious Access Modes,Privacy & Policy,P2,Frontier,Private Edge Sharing,"Offer a high-sensitivity mode that reduces leakage from storage-access patterns, particularly for repeated reads of valuable shares.",Adapt Path ORAM-style techniques and block reshuffling to flash-friendly storage layouts with bounded overhead.,"Bandwidth overhead, latency inflation, stash size, and access-pattern indistinguishability.","Keep this strictly optional and reserve it for small, highly sensitive datasets."
R17,Verifiable Multi-Party File Sharing,Verifiability & Security,P1,High,Proof-Carrying Sharing,Support one-to-many delivery where each recipient yields a distinct receipt while the sender still obtains a compact view of campaign completion.,"Issue recipient-scoped capability tokens, aggregate receipts, and optionally use threshold acknowledgments for group completion.","Receipt aggregation efficiency, recipient isolation, and completion visibility.",Implement independent recipient receipts before any threshold cryptography.
R18,Learned False-Positive Filtering for Access Logs,Intelligence & Operations,P2,Medium,Runtime and UX Foundation,Reduce operator fatigue by suppressing repetitive benign alerts while keeping potentially meaningful anomalies visible.,"Use on-device causal or probabilistic features over session history, link age, device fingerprints, and failure patterns.","Alert precision, recall on malicious simulations, and reviewer time saved.",Keep conservative defaults and make the filter explain why an alert was suppressed.
R19,Energy-Proportional Cryptographic Profiles,Intelligence & Operations,P1,Medium,Private Edge Sharing,"Adjust proof batching, chunk sizes, and hybrid-crypto policy selections to preserve battery life without dropping below a secure baseline.","Use an explicit policy floor, device power telemetry, and a profile selector that chooses among approved crypto and proof pipelines.","Energy cost, proof latency, battery impact, and percentage of sessions using each profile.",Never weaken authenticated encryption below the minimum supported policy; prefer deferral and batching over weaker protection.
R20,Wasm-Based Custom Sharing Rules,Privacy & Policy,P1,High,Policy and Explainable Trust,Allow users to define advanced access policies without embedding unsafe scripting runtimes into the single-binary server.,Run deterministic WebAssembly policy modules in a sandbox with capability-scoped host calls and execution tracing.,"Policy execution latency, memory limits, determinism, and rule-debugging effort.",Start with a fixed rule DSL and promote it to Wasm once the host interface is stable.
R21,Post-Quantum Key Rotation,Verifiability & Security,P1,Medium,PQ and Supply Chain Trust,Rotate long-lived keys on a schedule that preserves continuity for existing links and evidence bundles.,"Maintain signed key-transition chains, hybrid rekey ceremonies, and rotation checkpoints inside the audit log.","Rekey duration, failure recovery rate, and continuity verification cost.",Implement explicit versioned keys before any automatic rekey daemon.
R22,Verifiable Relay with Honesty Proofs,Reachability,P2,Frontier,Relay Trust and Fallbacks,Move beyond encrypted forwarding and ask the relay to produce evidence that it forwarded the right transcript without tampering or selective omission.,"Explore transcript commitments, chunk-level signed counters, and eventually succinct proof systems over relay forwarding traces.","Proof size, forwarding slowdown, and robustness against omission or replay.",Treat this as a frontier track layered on top of the simpler encrypted relay from R07.
R23,Cross-Platform Binary Optimization,Intelligence & Operations,P1,Medium,Runtime and UX Foundation,"Keep the one-binary promise while tuning performance for x86_64, ARM64, and lightweight edge devices.","Use architecture-specific code paths, feature detection, and benchmark-guided build profiles.","Binary size, startup time, memory footprint, and throughput across platforms.",Prioritize x86_64 and ARM64 first; treat other targets as opportunistic.
R24,On-Device Vector Search over Shared Files,Privacy & Policy,P2,High,Private Edge Sharing,Enable semantic retrieval over local shared content without shipping raw documents to an external indexing service.,"Use local embeddings, a compact approximate nearest-neighbor index, and privacy-preserving query logging or noise injection.","Search latency, embedding storage cost, relevance, and metadata leakage risk.",Limit the first release to user-opted local search and avoid remote model dependencies.
R25,Long-Term Evolutionary Sharing Policy Improvement,Intelligence & Operations,P2,Frontier,Policy and Explainable Trust,Explore whether SafeDrop can locally evolve better default policies over time while keeping the resulting policy history auditable.,"Use bounded search over expiry windows, throttling, relay preferences, and notification policies with explainable fitness functions.","Policy quality improvement, user override rate, and stability of learned policies.","Treat this as an optional research playground, never as an autonomous unreviewed control path for security-critical settings."
R26,Proof-Carrying Deduplication with Content-Defined Chunking,Core Runtime,P1,Medium,Runtime and UX Foundation,Deduplicate repeated content without breaking the ability to prove exactly which bytes were shared and delivered.,"Use content-defined chunking, chunk manifests, and witness paths that rebind deduplicated chunks to each file root.","Dedup ratio, chunking overhead, proof reconstruction cost, and storage savings.",Implement fixed-size chunking first and only later switch to content-defined chunking for better dedup effectiveness.
R27,Forward-Secure Ephemeral Capability Links,Verifiability & Security,P0,Medium,Proof-Carrying Sharing,Reduce damage from leaked links by using one-time or rolling link secrets that cannot expose earlier or later sessions.,Derive capability URLs from ratcheting secrets and bind them to explicit epochs and recipient scopes.,"Link-rotation cost, compromise window, and access failure rate under rotation.",Ship expiring single-use links before more advanced ratcheting.
R28,Resumable Verifiable Transfer Receipts,Core Runtime,P0,Medium,Proof-Carrying Sharing,Support interrupted uploads or downloads without sacrificing strong delivery evidence.,"Issue segment-level receipts, checkpoint byte ranges, and aggregate the final receipt over the full manifest once all segments arrive.","Resume success rate, additional metadata per segment, and user-visible recovery speed.",Make segmented transfer a foundational primitive before adding ZK wrapping.
R29,Local-First Secret Splitting and Recovery,Verifiability & Security,P1,Medium,PQ and Supply Chain Trust,Provide disaster recovery without handing master recovery secrets to a centralized operator.,"Use threshold secret splitting across trusted devices, printable recovery codes, or offline hardware tokens.","Recovery success, setup burden, and probability of lockout under realistic failure scenarios.","Start with two-of-three recovery between desktop, phone, and printed emergency code."
R30,Namespace Isolation and Accountable Delegation,Privacy & Policy,P1,Medium,Policy and Explainable Trust,Allow the owner to delegate limited management rights or team spaces without creating a heavyweight multi-user admin system.,"Define namespace-scoped capabilities, delegation chains, and revocation points logged in the audit tree.","Delegation clarity, revocation speed, and accidental privilege escalation rate.",Keep delegation explicit and shallow before supporting nested teams.
R31,Private Recipient Authentication Tokens,Privacy & Policy,P2,High,Private Edge Sharing,Authenticate recipients to a link without forcing account creation or exposing more identity metadata than necessary.,"Use one-time secrets, blinded tokens, or anonymous capability upgrades that bind only to the minimum required claims.","Metadata minimization, authentication failure rate, and friction compared with ordinary links.",Single-use shared secrets are sufficient for the first iteration; anonymity-preserving token systems come later.
R32,Geo- and Latency-Aware Relay Selection Under Privacy Constraints,Reachability,P2,Medium,Relay Trust and Fallbacks,Choose a relay path that is fast enough without overexposing user geography or network identity.,"Score relays using coarse regions, latency buckets, and privacy-weighted routing policies.","Median latency, relay churn, and amount of geographic leakage.",Use coarse regional hints instead of exact location data.
R33,Multi-Relay Route Diversity with Availability Proofs,Reachability,P1,High,Relay Trust and Fallbacks,Increase link resilience by using multiple relays or relay failover paths while recording which route preserved availability.,"Use parallel standby circuits, route health checks, and signed continuity records for path switches.","Downtime, switchover time, and incremental relay cost.",Implement cold-standby failover first; only later explore simultaneous multipath forwarding.
R34,Transport Agility for Restricted Networks,Reachability,P2,High,Relay Trust and Fallbacks,"Maintain connectivity across enterprise, campus, or hostile middleboxes by switching among approved transport encodings.","Offer QUIC first, then HTTPS or WebSocket tunneling and conservative keep-alive strategies when networks are restrictive.","Connection success under constrained networks, handshake delay, and detection of blocked paths.",Keep the transport matrix small and auditable rather than turning SafeDrop into a general tunneling tool.
R35,Reachability Forecasting for Sleeping or Intermittent Hosts,Intelligence & Operations,P1,Medium,Verifiable Home Reachability,Predict when a home PC is likely to be online and expose that expectation to the sender and recipient.,"Use local uptime history, power state transitions, and coarse recurrence patterns to estimate future availability windows.","Forecast accuracy, missed-online events, and user trust in availability indicators.",Rule-based forecasting based on recent uptime windows is enough to start.
R36,Secure Wake Assist with User-Mediated Confirmation,Reachability,P1,Medium,Verifiable Home Reachability,"When the host is sleeping rather than fully offline, offer a safe way to wake it with explicit user control.","Use authenticated local wake support, trusted companion devices, and user-confirmed wake requests instead of silent remote wake behavior.","Wake success rate, false wakes, and time-to-available after wake.",Treat wake assist as opt-in and require explicit enrollment of the waking device.
R37,Delay-Tolerant Drop Queues with Eventual Verifiable Delivery,Reachability,P1,Medium,Verifiable Home Reachability,Allow recipients to request a file while the host is offline and receive it later once the host returns online.,"Use queued delivery intents, signed request records, and eventual completion receipts anchored in the audit log.","Queue retention reliability, delivery completion after reconnection, and user satisfaction.",Start with offline request capture and notification; actual queued payload relay can come later.
R38,Cross-NAT Device Assist for Pairwise Access,Reachability,P2,High,Relay Trust and Fallbacks,Use a secondary personal device such as a phone or Raspberry Pi as a lightweight introducer when direct home-host reachability is poor.,Bind auxiliary devices to the owner identity and let them act as rendezvous mailboxes or assistive introducers.,"Setup complexity, improved connection rate, and auxiliary-device resource use.",Require explicit enrollment and keep the assist device unable to decrypt payloads.
R39,Proof-Carrying Dynamic DNS Failover and Key Continuity,Reachability,P1,Medium,Verifiable Home Reachability,"When address changes or a relay takeover occurs, prove that the new endpoint remains the same logical SafeDrop host.","Use signed continuity descriptors, rotating reachability manifests, and audit-linked binding changes.","Failover time, stale link rate, and continuity verification success.","Treat key continuity as the primary invariant, not stable IP addresses."
R40,Autonomous Link Survival Analytics and Self-Healing Network Policy,Intelligence & Operations,P2,Medium,Verifiable Home Reachability,Let SafeDrop learn which network strategies tend to work best for a given host and adapt accordingly.,"Observe repeated path failures, relay performance, router behavior, and availability history to reorder future reachability attempts.","Reduction in failed link setups, mean time to successful path selection, and number of user interventions avoided.",Keep the policy engine explainable and reversible; learning must never obscure why a path was chosen.
R41,Transparent Remote Attestation of Single-Binary Builds,Verifiability & Security,P1,High,PQ and Supply Chain Trust,Give users confidence that the downloaded executable corresponds to a known build process and expected source state.,"Use signed build manifests, runtime self-reporting of version measurements, and optional external attestation checks.","Attestation verification cost, release reproducibility, and user trust indicators.",Begin with signed manifests and hash publication before pursuing hardware-backed runtime attestation.
R42,Reproducible Builds and Proof-Carrying Release Artifacts,Verifiability & Security,P1,Medium,PQ and Supply Chain Trust,Make release binaries reproducible so the community can independently verify that a published release matches the tagged source.,"Pin toolchains, capture build manifests, compare deterministic artifacts, and publish verification instructions with every release.","Bit-for-bit reproducibility rate, build variance, and time to verify a release artifact.",Integrate reproducible packaging into CI before the first public release.
R43,Side-Channel-Aware Storage Layout for Home Devices,Verifiability & Security,P2,High,Private Edge Sharing,"Reduce leakage from filesystem metadata, cache timing, and repeated block placement on commodity systems.","Use padded writes, metadata normalization, and careful background maintenance strategies.","Residual side-channel leakage, write amplification, and latency overhead.",Document the leakage surfaces early and prioritize the ones that matter most in real home-hosted deployments.
R44,Memory-Safe Zero-Copy Encrypted I/O Pipeline,Core Runtime,P0,Medium,Runtime and UX Foundation,Keep the server efficient enough for laptops and small boards while preserving Rust’s memory-safety advantages.,"Use streaming chunk pipelines, bounded buffers, and zero-copy handoff between storage, hashing, and transport stages where feasible.","Peak RSS, CPU load, throughput, and copy count per gigabyte transferred.",Instrument the data path before micro-optimizing it.
R45,PQ Migration Policy Synthesis and Crypto Agility Proofs,Verifiability & Security,P2,High,PQ and Supply Chain Trust,Model how SafeDrop should migrate from classical to hybrid and eventually post-quantum-first modes without breaking stored evidence or old links.,Represent crypto policy as signed versioned state and prove each migration path preserves verification semantics.,"Migration downtime, verification compatibility, and policy rollback safety.",Solve version negotiation and evidence-format compatibility before optimizing crypto selection.
R46,"On-Device AI for Link Expiry, Abuse Detection, and Policy Suggestions",Intelligence & Operations,P1,Medium,Policy and Explainable Trust,Use local models to suggest practical defaults such as shorter expiry for sensitive shares or relay fallback for troublesome recipients.,Train small local models over past transfer behavior and expose only advisory suggestions to the operator.,"User acceptance rate, reduced manual tuning, and false-alarm rate on abuse suggestions.",All AI outputs remain advisory until the operator approves them.
R47,Human-Understandable Proof Summaries and Explainable Cryptographic UX,Privacy & Policy,P1,Medium,Policy and Explainable Trust,"Translate hashes, receipts, and proofs into plain-language evidence that non-cryptographers can still use during disputes or audits.","Map protocol state into concise evidence cards, timelines, and machine-checked natural-language summaries.","Comprehension in user testing, time to find evidence, and reduction in operator confusion.",Design the explanation layer in parallel with the audit model rather than as an afterthought.
R48,Carbon- and Energy-Aware Sharing Optimization,Intelligence & Operations,P2,Medium,Runtime and UX Foundation,"Schedule large transfers to align with battery health, network cost, and sustainability goals where the user cares about them.","Combine local power state, optional carbon-intensity estimates, and deadline-aware transfer scheduling.","Energy saved, completion delay, and user satisfaction with green scheduling choices.",Treat carbon data as optional and keep scheduling overrides simple.
R49,Federated Reliability Telemetry Without Raw Data Leakage,Intelligence & Operations,P2,High,Private Edge Sharing,Improve heuristics across many SafeDrop deployments without centralizing raw transfer logs or sensitive metadata.,"Use local summary extraction, secure aggregation, and model updates that never upload raw evidence.","Model improvement per round, communication overhead, and privacy guarantees for participants.",Do not collect any telemetry by default; federation is opt-in research infrastructure.
R50,Formal Specification and Model Checking of Share and Relay Protocols,Verifiability & Security,P1,High,PQ and Supply Chain Trust,Model the protocol states rigorously so security and lifecycle invariants can be checked before code complexity grows.,"Write TLA+ or PlusCal specifications for share creation, path selection, receipt finalization, expiry, and relay failover.","Invariant coverage, counterexamples found, and protocol bugs removed before implementation.",Model the smallest share lifecycle first and treat the specification as a release artifact.
